pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
HD 102956,b,Radial Velocity,6.495,0.081,0.048,0,,,,,,121.07,7.851,,,,HD 102956,HIP 57820,0.973,,2010
HD 103197,b,Radial Velocity,47.8,,,0,,,,,,49.33,9.391,,,,HD 103197,HIP 57931,0.914,,2009
HD 104067,b,Radial Velocity,55.806,0.2643,,0,,,,,,20.82,7.92,,,,HD 104067,HIP 58451,0.98,,2009
HD 104985,b,Radial Velocity,198.2,0.78,0.03,0,,,,,,102.04,5.8,,,,HD 104985,HIP 58952,1.01,,2003
HD 106252,b,Radial Velocity,1531,2.611,0.482,0,,,,,,37.44,7.408,,,,HD 106252,HIP 59610,0.616,,2002
HD 106270,b,Radial Velocity,2890,4.3,0.402,0,,,,,,87.87,7.577,,,,HD 106270,HIP 59625,0.743,,2011
HD 10647,b,Radial Velocity,1003,2.03,0.16,0,,,,,,17.35,5.519,,,,HD 10647,HIP 7978,0.535,,2003
HD 106515A,b,Radial Velocity,3630,,0.6,3337.88642,10.4998,,,,,36.36,7.971,,,,HD 106515A,HIP 59743A,0.822,,2011
HD 10697,b,Radial Velocity,1075.2,2.131,0.099,0,,,,,,32.56,6.279,,,,HD 10697,HIP 8159,0.706,,2000
HD 107148,b,Radial Velocity,48.056,0.269,0.05,0,,,,,,51.26,8.015,,,,HD 107148,HIP 60081,0.703,,2006
HD 108147,b,Radial Velocity,10.8985,0.102,0.53,0,,,,,,38.56,6.995,,,,HD 108147,HIP 60644,0.538,,2002
HD 108863,b,Radial Velocity,443.4,1.4,0.1,0,,,,,,138.5,7.739,,,,HD 108863,HIP 61020,1.008,,2011
HD 108874,b,Radial Velocity,394.48,1.053,0.128,0,,,,,,68.54,8.738,,,,HD 108874,HIP 61028,0.765,,2003
HD 108874,c,Radial Velocity,1680,2.77,0.273,0,,,,,,68.54,8.738,,,,HD 108874,HIP 61028,0.765,,2005
HD 109246,b,Radial Velocity,68.27,0.33,0.12,0,,,,,,65.62,8.757,,,,HD 109246,HIP 61177,0.663,,2010
HD 109749,b,Radial Velocity,5.24,0.0635,0.01,0,,,,,,59.03,8.208,,,,HD 109749,HIP 61595A,0.657,,2005
HD 110014,b,Radial Velocity,835.477,2.14,0.462,0,,,,,,97.66,4.67,,,,HD 110014,HIP 61740,1.22,,2009
HD 111232,b,Radial Velocity,1143,1.97,0.2,0,,,,,,28.88,7.607,,,,HD 111232,HIP 62534,0.699,,2004
HD 113538,b,Radial Velocity,263.3,0.71,0.61,0,,,,,,15.71,9.07,,,,HD 113538,HIP 63833,1.37,,2010
HD 113538,c,Radial Velocity,1657,2.43,0.32,0,,,,,,15.71,9.07,,,,HD 113538,HIP 63833,1.37,,2010
HD 114386,b,Radial Velocity,937.7,1.65,0.23,0,,,,,,28.04,8.715,,,,HD 114386,HIP 64295,1.082,,2003
HD 114386,c,Radial Velocity,1046,,0.06,377.099338,1.18622,,,,,28.04,8.715,,,,HD 114386,HIP 64295,1.082,,2011
HD 114729,b,Radial Velocity,1114,2.11,0.167,0,,,,,,35,6.695,,,,HD 114729,HIP 64459,0.592,,2002
HD 114762,b,Radial Velocity,83.888,0.363,0.3359,0,,,,,,40.57,7.301,,,,HD 114762,HIP 64426,0.517,,1989
HD 114783,b,Radial Velocity,493.7,1.16,0.144,0,,,,,,20.43,7.563,,,,HD 114783,HIP 64457,0.926,,2001
